InventoryId,StoreId,ProductId,SnapshotDate,QuantityOnHand,ReorderThreshold
I00001,S001,P013,2026-02-01,120,30
I00002,S001,P019,2026-02-01,12,5
I00003,S001,P018,2026-02-01,98,5
I00004,S001,P035,2026-02-01,22,20
I00005,S001,P021,2026-02-01,100,10
I00006,S001,P050,2026-02-01,114,25
I00007,S001,P029,2026-02-01,91,15
I00008,S001,P043,2026-02-01,85,40
I00009,S001,P008,2026-02-01,50,30
I00010,S001,P058,2026-02-01,136,5
I00011,S001,P010,2026-02-01,119,25
I00012,S001,P011,2026-02-01,33,5
I00013,S001,P051,2026-02-01,119,5
I00014,S001,P052,2026-02-01,116,15
I00015,S001,P001,2026-02-01,119,20
I00016,S001,P040,2026-02-01,59,10
I00017,S001,P036,2026-02-01,36,40
I00018,S001,P033,2026-02-01,66,15
I00019,S001,P007,2026-02-01,100,10
I00020,S001,P014,2026-02-01,84,40
I00021,S001,P057,2026-02-01,83,20
I00022,S001,P023,2026-02-01,124,5
I00023,S001,P044,2026-02-01,16,20
I00024,S001,P056,2026-02-01,28,15
I00025,S001,P048,2026-02-01,122,20
I00026,S001,P055,2026-02-01,43,15
I00027,S001,P059,2026-02-01,89,25
I00028,S001,P016,2026-02-01,32,25
I00029,S001,P049,2026-02-01,26,20
I00030,S001,P003,2026-02-01,27,15
I00031,S001,P045,2026-02-01,18,40
I00032,S001,P020,2026-02-01,77,25
I00033,S001,P032,2026-02-01,118,20
I00034,S001,P038,2026-02-01,105,10
I00035,S001,P015,2026-02-01,62,25
I00036,S001,P002,2026-02-01,40,20
I00037,S001,P005,2026-02-01,98,5
I00038,S001,P046,2026-02-01,87,10
I00039,S002,P053,2026-02-01,126,30
I00040,S002,P045,2026-02-01,15,5
I00041,S002,P038,2026-02-01,55,40
I00042,S002,P028,2026-02-01,35,25
I00043,S002,P051,2026-02-01,0,40
I00044,S002,P057,2026-02-01,37,30
I00045,S002,P037,2026-02-01,38,20
I00046,S002,P056,2026-02-01,136,15
I00047,S002,P022,2026-02-01,99,25
I00048,S002,P035,2026-02-01,114,10
I00049,S002,P059,2026-02-01,52,30
I00050,S002,P016,2026-02-01,81,15
I00051,S002,P012,2026-02-01,77,20
I00052,S002,P043,2026-02-01,88,5
I00053,S002,P047,2026-02-01,2,25
I00054,S002,P005,2026-02-01,130,20
I00055,S002,P054,2026-02-01,32,40
