PurchaseOrderId,SupplierId,StoreId,ProductId,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,QuantityOrdered,UnitCostGold
PO0001,SUP009,S010,P037,2026-04-10,2026-04-15,2026-04-15,108,8.5
PO0002,SUP001,S004,P028,2026-01-07,2026-01-10,2026-01-12,102,8.53
PO0003,SUP008,S011,P018,2026-01-23,2026-01-25,2026-01-25,40,5.48
PO0004,SUP004,S007,P020,2026-03-09,2026-03-12,2026-03-12,38,2.62
PO0005,SUP003,S007,P004,2026-02-13,2026-02-17,2026-02-17,49,9.0
PO0006,SUP003,S009,P031,2026-03-30,2026-04-02,2026-04-07,60,37.3
PO0007,SUP003,S001,P045,2026-03-13,2026-03-19,2026-03-19,97,8.96
PO0008,SUP010,S006,P040,2026-03-27,2026-04-03,2026-04-04,99,2.62
PO0009,SUP001,S008,P001,2026-01-19,2026-01-24,2026-01-26,19,1.68
PO0010,SUP006,S005,P044,2026-03-08,2026-03-15,2026-03-15,62,62.16
PO0011,SUP007,S011,P055,2026-02-27,2026-03-06,2026-03-11,17,3.81
PO0012,SUP001,S007,P048,2026-03-31,2026-04-06,2026-04-07,81,1.2
PO0013,SUP005,S004,P023,2026-03-28,2026-04-03,2026-04-08,52,39.17
PO0014,SUP001,S005,P002,2026-03-06,2026-03-08,2026-03-08,88,6.3
PO0015,SUP001,S006,P027,2026-02-15,2026-02-21,2026-02-21,102,6.17
PO0016,SUP003,S008,P060,2026-02-24,2026-02-28,2026-02-28,81,96.02
PO0017,SUP001,S005,P028,2026-04-19,2026-04-26,2026-04-26,60,8.38
PO0018,SUP003,S002,P045,2026-04-14,2026-04-16,2026-04-16,7,8.79
PO0019,SUP001,S008,P027,2026-04-06,2026-04-12,2026-04-15,17,6.95
PO0020,SUP003,S011,P033,2026-02-07,2026-02-12,2026-02-12,104,19.44
PO0021,SUP002,S004,P025,2026-04-20,2026-04-25,2026-04-30,49,3.38
PO0022,SUP010,S007,P059,2026-04-16,2026-04-23,2026-04-24,99,3.59
PO0023,SUP002,S009,P024,2026-02-06,2026-02-10,2026-02-12,38,1.25
PO0024,SUP010,S011,P058,2026-01-31,2026-02-02,2026-02-05,58,9.27
PO0025,SUP001,S006,P002,2026-04-18,2026-04-24,2026-04-26,81,4.87
PO0026,SUP002,S004,P011,2026-03-13,2026-03-18,2026-03-18,87,1.03
PO0027,SUP003,S003,P004,2026-03-23,2026-03-28,2026-04-05,27,7.35
PO0028,SUP004,S007,P021,2026-01-30,2026-02-01,2026-02-02,21,5.86
PO0029,SUP004,S011,P041,2026-02-03,2026-02-09,2026-02-09,46,145.45
PO0030,SUP007,S007,P006,2026-01-02,2026-01-09,2026-01-10,24,0.61
