SaleId,StoreId,ProductId,CustomerId,SaleDate,Quantity,UnitPriceGold
SA0001,S002,P047,C050,2026-02-10,1,50.99
SA0002,S003,P013,C056,2026-04-05,2,6.19
SA0003,S009,P039,C073,2026-01-13,5,0.78
SA0004,S005,P001,C137,2026-01-17,2,3.03
SA0005,S012,P009,C126,2026-01-14,5,4.57
SA0006,S008,P022,C048,2026-01-07,1,28.15
SA0007,S002,P026,C126,2026-01-10,3,18.37
SA0008,S010,P020,C022,2026-02-01,1,5.7
SA0009,S010,P015,C134,2026-02-18,2,19.06
SA0010,S007,P020,C146,2026-03-21,1,6.03
SA0011,S004,P041,C055,2026-02-03,3,256.68
SA0012,S002,P011,C001,2026-02-22,2,1.95
SA0013,S004,P019,C073,2026-03-31,5,117.55
SA0014,S005,P051,C051,2026-02-24,1,5.02
SA0015,S005,P053,C037,2026-01-10,1,12.07
SA0016,S010,P059,C074,2026-02-26,1,6.96
SA0017,S005,P033,C139,2026-03-05,2,35.75
SA0018,S012,P021,C065,2026-01-04,1,11.77
SA0019,S010,P038,C006,2026-04-08,4,34.7
SA0020,S008,P034,C114,2026-04-28,2,8.23
SA0021,S008,P006,C121,2026-02-14,2,1.24
SA0022,S003,P022,C106,2026-03-30,3,26.53
SA0023,S009,P003,C117,2026-01-12,2,2.72
SA0024,S007,P056,C132,2026-04-16,10,1.32
SA0025,S007,P004,C049,2026-03-08,2,14.5
SA0026,S001,P014,C069,2026-03-12,1,7.09
SA0027,S008,P008,C008,2026-03-22,3,6.25
SA0028,S009,P001,C142,2026-02-22,1,3.04
SA0029,S008,P008,C040,2026-03-05,6,6.37
SA0030,S007,P054,C124,2026-03-02,1,3.63
SA0031,S010,P033,C035,2026-04-21,1,37.71
SA0032,S006,P060,C130,2026-02-04,5,180.59
SA0033,S010,P038,C126,2026-04-21,1,22.33
SA0034,S009,P049,C140,2026-02-18,2,9.15
SA0035,S012,P016,C147,2026-02-19,1,69.21
SA0036,S012,P059,C098,2026-02-19,10,7.18
SA0037,S003,P032,C010,2026-01-17,3,102.66
SA0038,S008,P007,C135,2026-04-27,2,95.68
SA0039,S011,P010,C020,2026-03-02,4,69.85
SA0040,S007,P042,C021,2026-04-20,2,4.33
SA0041,S006,P041,C125,2026-04-22,3,299.73
SA0042,S011,P059,C074,2026-01-30,4,6.42
SA0043,S011,P046,C026,2026-02-26,1,76.95
SA0044,S001,P019,C092,2026-02-17,2,125.19
SA0045,S011,P051,C047,2026-01-22,1,5.71
SA0046,S011,P016,C128,2026-04-27,3,40.28
SA0047,S008,P017,C003,2026-04-26,5,0.89
SA0048,S003,P005,C114,2026-02-14,10,2.95
SA0049,S012,P017,C117,2026-04-19,2,0.91
SA0050,S002,P016,C098,2026-03-15,2,41.19
SA0051,S001,P054,C102,2026-02-05,1,3.99
SA0052,S001,P059,C128,2026-04-17,6,6.11
SA0053,S010,P052,C091,2026-01-29,3,13.09
SA0054,S012,P050,C036,2026-03-22,1,61.62
SA0055,S001,P038,C094,2026-04-04,1,24.97
SA0056,S007,P012,C052,2026-01-17,4,1.94
SA0057,S009,P059,C070,2026-04-17,1,7.44
SA0058,S005,P048,C087,2026-04-13,1,2.54
SA0059,S004,P056,C102,2026-04-19,5,1.21
SA0060,S001,P017,C138,2026-01-16,2,0.83
SA0061,S010,P025,C096,2026-01-14,4,4.94
SA0062,S009,P021,C057,2026-03-24,1,11.31
SA0063,S005,P042,C105,2026-01-15,1,4.69
SA0064,S008,P008,C025,2026-01-31,6,6.02
SA0065,S011,P048,C139,2026-02-23,3,2.37
SA0066,S011,P007,C126,2026-03-20,2,127.35
SA0067,S008,P029,C061,2026-04-20,2,254.84
SA0068,S011,P023,C016,2026-02-20,2,70.13
SA0069,S008,P006,C055,2026-03-24,3,1.51
SA0070,S006,P016,C033,2026-04-11,3,37.94
SA0071,S004,P038,C056,2026-04-15,5,20.83
SA0072,S010,P001,C071,2026-04-20,10,3.04
SA0073,S003,P008,C007,2026-01-17,1,7.47
SA0074,S006,P002,C045,2026-02-03,1,9.91
SA0075,S012,P005,C122,2026-02-27,4,3.16
SA0076,S009,P015,C012,2026-04-04,4,21.73
SA0077,S008,P042,C008,2026-01-08,10,4.56
SA0078,S002,P032,C114,2026-01-10,6,94.0
SA0079,S003,P018,C150,2026-03-12,4,9.59
SA0080,S005,P030,C130,2026-03-19,2,9.2
SA0081,S011,P042,C142,2026-04-03,5,4.0
SA0082,S007,P022,C117,2026-02-21,2,21.9
SA0083,S011,P017,C096,2026-01-20,4,0.78
SA0084,S002,P006,C111,2026-01-13,4,1.26
SA0085,S001,P038,C144,2026-03-13,2,19.35
SA0086,S011,P049,C109,2026-04-22,6,8.3
SA0087,S005,P023,C027,2026-03-15,3,54.09
SA0088,S002,P023,C143,2026-02-17,1,56.53
SA0089,S007,P055,C144,2026-04-09,5,8.49
SA0090,S001,P039,C069,2026-01-04,1,0.9
SA0091,S006,P023,C002,2026-01-24,5,62.21
SA0092,S003,P048,C008,2026-01-12,4,2.0
SA0093,S006,P011,C095,2026-02-09,4,2.06
SA0094,S002,P057,C014,2026-01-20,1,69.76
SA0095,S005,P029,C109,2026-03-04,3,214.37
SA0096,S009,P008,C089,2026-02-25,1,7.22
SA0097,S009,P043,C079,2026-01-06,1,20.95
SA0098,S004,P020,C055,2026-04-09,1,4.83
SA0099,S001,P032,C111,2026-01-23,1,100.8
SA0100,S009,P054,C091,2026-01-10,2,3.85
SA0101,S008,P059,C020,2026-04-21,2,6.41
SA0102,S011,P027,C075,2026-01-15,2,13.29
SA0103,S010,P030,C093,2026-01-12,2,7.33
SA0104,S007,P034,C021,2026-02-20,5,7.65
SA0105,S003,P005,C131,2026-03-23,1,3.16
SA0106,S006,P023,C038,2026-01-31,1,56.09
SA0107,S003,P049,C020,2026-01-23,8,10.11
SA0108,S010,P049,C149,2026-02-27,4,10.91
SA0109,S010,P021,C081,2026-01-20,2,10.13
